08/610814,LSBU (Borough Road),SE1,51.49874469,-0.103132904,39
01/615147,Buckingham Gate,SW1,51.49886664,-0.137414605,18
01/615238,Montpelier Street,SW7,51.49888404,-0.165471605,19
08/610854,Borough Road,SE1,51.49889832,-0.100440521,41
08/610817,Long Lane,SE1,51.49907558,-0.085666316,20
09/610912,Lambeth North LU,SE1,51.49914063,-0.112031483,20
01/615165,Belgrave Square,SW1,51.49941247,-0.152317537,21
01/615188,Imperial College,SW7,51.49942855,-0.179702476,18
12/611220,Phillimore Gardens,W8,51.49960695,-0.197574246,37
01/615187,Prince Consort Road,SW7,51.49980661,-0.176415994,19
09/610936,Lower Marsh,SE1,51.50013942,-0.113936001,17
12/611265,Harriet Street,SW1,51.50028807,-0.159264778,27
08/610851,Swan Street,SE1,51.50029631,-0.092762704,27
12/611232,Wright's Lane,W8,51.50039792,-0.193068385,37
12/611221,Argyll Road,W8,51.50040123,-0.195455928,20
09/610934,St. Thomas' Hospital,SE1,51.5006081,-0.117987658,23
08/610807,Tanner Street,SE1,51.50064702,-0.078600401,19
08/610810,Webber Street,SE1,51.50069361,-0.102091246,24
08/610809,Borough High Street,SE1,51.50069491,-0.094524319,21
01/615171,Storey's Gate,SW1,51.50070623,-0.129685017,22
12/611280,Ilchester Place,W14,51.50074359,-0.202759212,24
08/610808,Empire Square,SE1,51.50082346,-0.089740764,49
08/610822,Tyers Gate,SE1,51.50088934,-0.083159352,36
12/611236,Queen's Gate (North),SW7,51.50102668,-0.180246101,19
01/615168,Grosvenor Crescent,SW1,51.50135267,-0.153194766,19
12/611233,Derry Street,W8,51.50136494,-0.191462381,19
01/615186,Kensington Gore,SW7,51.50143293,-0.178656971,23
09/610904,Baylis Road,SE1,51.50144456,-0.110699309,22
01/610136,Queen's Gate,SW7,51.50172988,-0.179787712,29
12/611269,De Vere Gardens,W8,51.50173726,-0.184980612,32
12/611242,Seville Street,SW1,51.50185512,-0.159237081,29
12/611219,Kensington Town Hall,W8,51.50194596,-0.194392952,21
12/611264,Palace Gate,W8,51.50204238,-0.184400221,16
08/610823,Curlew Street,SE1,51.50227992,-0.074189225,26
01/610113,Wellington Arch,SW1,51.50274025,-0.149569201,36
01/610115,Knightsbridge,SW1,51.50275704,-0.155349725,41
01/610137,Albert Gate,SW1,51.50295379,-0.158456089,28
01/610141,Hyde Park Corner,SW1,51.50311799,-0.153520935,29
12/611275,Kensington Church Street,W8,51.50315739,-0.191496313,18
08/610806,Tooley Street,SE1,51.5034938,-0.07962099,17
08/610805,Union Street,SE1,51.50368837,-0.098497684,17
08/610804,Southwark Street,SE1,51.50462759,-0.091773776,36
09/610945,Jubilee Gardens,SE1,51.5046364,-0.116542278,30
12/611218,Vicarage Gate,W8,51.50472376,-0.192538767,18
05/610511,Wapping High Street,E1,51.50482186,-0.067820689,20
01/610104,Embankment (Horse Guards),SW1,51.50494561,-0.123247648,32
