Barbican Art Gallery,51.519314,-0.093486,16
Hayward Gallery,51.505413,-0.116189,16
National Gallery,51.509111,-0.128904,16
Royal Academy of Arts,51.508136,-0.139418,16
Tate Britain,51.490695,-0.129306,15.758909
Tate Modern,51.506055,-0.099863,15.775307
